Designator,Mid X,Mid Y,Rotation,Layer
C1,97.0,-149.925,90.0,top
C10,132.4125,-124.369888,0.0,top
C11,129.1125,-125.969888,0.0,top
C12,132.4125,-127.569888,180.0,top
C13,128.5,-133.2,270.0,top
C14,110.8,-136.985,90.0,top
C15,109.2,-136.985,270.0,top
C16,99.3,-137.085,90.0,top
C17,109.2,-124.5,90.0,top
C18,94.804887,-124.444888,180.0,top
C19,129.1125,-127.569888,0.0,top
C2,109.0,-149.9,90.0,top
C20,96.6,-131.655112,270.0,top
C21,96.6,-141.644887,90.0,top
C22,136.5125,-126.869888,270.0,top
C3,124.6775,-152.9,90.0,top
C4,131.2775,-149.9,90.0,top
C5,136.0775,-149.9,90.0,top
C6,132.9,-144.955112,270.0,top
C7,127.3,-144.955112,270.0,top
C8,130.9125,-137.169888,180.0,top
C9,140.0,-145.044887,90.0,top
D1,141.3,-136.2,270.0,top
D2,138.7,-136.2,90.0,top
D3,92.1,-136.1,270.0,top
DIST1,113.3,-150.2,0.0,bottom
LEVEL1,113.3,-124.6,0.0,bottom
Q1,103.83,-148.36,180.0,top
Q2,124.0125,-124.369888,270.0,top
Q3,128.0,-152.5,270.0,top
Q4,104.235,-136.63,270.0,top
Q5,103.87,-124.94,0.0,top
R1,95.4,-149.925,270.0,top
R10,132.8775,-149.9,90.0,top
R11,134.4775,-149.9,90.0,top
R12,133.3,-139.5,270.0,top
R13,134.0125,-137.169888,0.0,top
R14,131.7,-139.5,270.0,top
R15,130.1,-139.5,270.0,top
R16,128.5,-139.5,90.0,top
R17,128.5,-136.3,90.0,top
R18,126.9,-136.3,270.0,top
R19,134.9125,-126.869888,90.0,top
R2,98.6,-149.925,90.0,top
R20,123.7,-128.8,270.0,top
R21,129.1125,-124.369888,0.0,top
R22,129.1125,-122.769888,0.0,top
R23,132.4125,-125.969888,0.0,top
R24,126.9,-133.2,90.0,top
R25,112.4,-136.985,270.0,top
R26,107.6,-136.985,90.0,top
R27,100.9,-137.085,90.0,top
R28,107.6,-124.5,270.0,top
R29,100.26,-124.5,90.0,top
R3,100.2,-149.9,90.0,top
R30,98.66,-124.5,270.0,top
R31,90.86,-124.444888,270.0,top
R32,89.4,-138.6,270.0,top
R33,103.0,-143.1,270.0,top
R34,101.4,-143.1,270.0,top
R35,122.1,-128.8,270.0,top
R4,107.4,-149.9,90.0,top
R5,110.6,-149.9,270.0,top
R6,112.2,-149.9,270.0,top
R7,123.0775,-152.9,270.0,top
R8,123.09,-149.775,270.0,top
R9,124.6775,-149.8,90.0,top
TONE1,113.8695,-137.4,270.0,bottom
U1,132.4125,-132.369888,0.0,top
