Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C20, C6, C7, C8",1206,7,10u,
"C10, C13",0603,2,150n,
C11,0603,1,1u,
C12,0603,1,2n2,
"C14, C2",0603,2,100n,
"C17, C19",1206,2,100n,
"C18, C9",1210,2,22u,
C3,0603,1,47n,
C4,0603,1,680n,
C5,0603,1,1n,
"D1, D2",DIODE_DO214AA_MBRS_VIS,2,SS26-E3/52T,
J1,BarrelJack_Horizontal,1,XDJK-0051-025,
"J2, J3",SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,2,SMA,
"L1, L2",IND_1050P-WE-PD_WRE,2,68u,
R1,0603,1,232k,
"R11, R12",1210,2,RC1210JR-074R7L,
"R2, R8, R9",0603,3,10k,
R3,0603,1,400,
R4,0603,1,59k,
R5,0603,1,143k,
R6,0603,1,8k2,
R7,0603,1,365k,
RV1,Potentiometer_Bourns_3296W_Vertical,1,3296W-1-503,
U1,PWP14,1,TPS55340PWP,
U2,DGQ10_1P88X1P57,1,TPS54260DGQ,
U3,KC5,1,OPA544T,
