Designator,Mid X,Mid Y,Rotation,Layer
C1,32.3,-26.1,90.0,top
C10,39.9625,-59.3,270.0,top
C11,38.4625,-55.9,270.0,top
C12,49.7625,-56.2,270.0,top
C13,50.4625,-58.6,180.0,top
C14,38.4625,-52.8,90.0,top
C15,45.075,-44.0,180.0,top
C16,45.075,-46.4,180.0,top
C17,66.7,-39.2307,90.0,top
C18,32.2,-56.625,270.0,top
C19,66.7,-32.9307,90.0,top
C2,45.4625,-26.41,270.0,top
C20,29.9,-26.1,90.0,top
C3,46.5625,-30.2,270.0,top
C4,53.0625,-32.7,0.0,top
C5,53.8625,-30.3,270.0,top
C6,61.3625,-21.4,270.0,top
C7,56.5625,-21.4,270.0,top
C8,58.9625,-21.4,270.0,top
C9,35.5625,-56.6,270.0,top
D1,49.7625,-20.025,180.0,top
D2,45.6,-51.200001,180.0,top
J1,20.7,-38.4,0.0,top
J2,87.7,-49.9,90.0,top
J3,87.7,-32.1,90.0,top
L1,39.0,-23.81105,90.0,top
L2,56.1,-49.1,0.0,top
R1,57.4625,-28.8,270.0,top
R11,76.6125,-32.1,0.0,top
R12,81.7375,-32.1,0.0,top
R2,55.8625,-28.8,90.0,top
R3,52.2625,-30.3,90.0,top
R4,56.9125,-25.925,180.0,top
R5,41.4625,-59.3,90.0,top
R6,51.3625,-56.2,90.0,top
R7,46.4625,-58.6,270.0,top
R8,48.0625,-58.6,90.0,top
R9,76.0875,-45.0225,0.0,top
RV1,79.5375,-41.0225,0.0,top
U1,50.8125,-25.625,0.0,top
U2,43.473601,-55.5,0.0,top
U3,70.7,-38.8307,90.0,top
