Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_5x5.3,1,10u,
"C10, C9",0603,2,270p,
"C11, C12, C2, C3, C5, C8",0603,6,100n,
C4,0603,1,330n,
C6,CP_Radial_D5.0mm_P2.00mm,1,100u,
C7,CP_Elec_5x5.3,1,47u,
"D1, D2, D3, D4",0805,4,RED,
"D10, D5, D6, D7, D8, D9",0805,6,YELLOW,
D13,1206,1,GREEN,
J1,PinHeader_1x04_P2.54mm_Vertical,1,PINHD_1x4_Male,
J2,Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal,1,AudioJack2,
J3,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1x2_Male,
"R1, R10, R11, R12, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5, R6, R7, R9",0603,19,10k_0402,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-A,
U2,SOP-8_3.9x4.9mm_P1.27mm,1,TL081,
U3,SOT-89-3,1,L78L05_SOT89,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,Resonator,
