Designator,Mid X,Mid Y,Rotation,Layer
C1,-74.9,72.9,270.0,top
C10,-73.2,67.0,90.0,top
C11,-60.1,67.6,180.0,top
C12,-60.1,66.0,180.0,top
C2,-46.121875,65.221875,90.0,top
C3,-69.495,71.525,180.0,top
C4,-57.121875,79.884375,90.0,top
C5,-63.9,79.9,90.0,top
C6,-67.6,80.1,90.0,top
C7,-74.9,61.0,90.0,top
C8,-68.1,59.3,0.0,top
C9,-68.1,62.3,180.0,top
D1,-41.821875,60.409375,270.0,top
D10,-44.321875,50.378125,90.0,top
D13,-31.821875,59.809375,270.0,top
D2,-36.821875,60.409375,270.0,top
D3,-26.821875,60.409375,270.0,top
D4,-21.821875,60.409375,270.0,top
D5,-19.321875,50.378125,90.0,top
D6,-24.321875,50.378125,90.0,top
D7,-29.321875,50.378125,90.0,top
D8,-34.321875,50.378125,90.0,top
D9,-39.321875,50.378125,90.0,top
J1,-42.3,82.26,270.0,top
J2,-74.6,46.5,180.0,top
J3,-52.225,82.26,90.0,top
R1,-62.0,76.7,270.0,top
R10,-36.821875,63.809375,270.0,top
R11,-26.821875,63.809375,270.0,top
R12,-21.821875,63.809375,270.0,top
R14,-19.321875,46.978125,90.0,top
R15,-24.321875,46.978125,90.0,top
R16,-29.321875,46.978125,90.0,top
R17,-34.321875,46.978125,90.0,top
R18,-39.321875,46.978125,90.0,top
R19,-44.321875,46.978125,90.0,top
R2,-74.8,67.0,90.0,top
R20,-31.821875,63.809375,270.0,top
R21,-58.721875,63.221875,270.0,top
R3,-71.6,67.0,90.0,top
R4,-71.3,80.0,90.0,top
R5,-72.9,80.0,90.0,top
R6,-68.1,57.8,180.0,top
R7,-68.1,60.8,180.0,top
R9,-41.821875,63.809375,270.0,top
U1,-52.321875,66.921875,270.0,top
U2,-67.9,66.9,0.0,top
U3,-60.521875,81.284375,270.0,top
Y1,-61.021875,62.821875,90.0,top
