Designator,Footprint,Quantity,Value,LCSC Part #
"BASS1, MID1",Potentiometer_Bourns_PTV09A-1_Single_Vertical,2,A10k,
"C1, C10",0603,2,10n,
"C11, C4",0603,2,68n,
C12,0603,1,47p,
C13,CP_Radial_D5.0mm_P2.00mm,1,100u,
C14,CP_Radial_D5.0mm_P2.00mm,1,10u,
"C15, C3, C7",0603,3,100n,
C2,0603,1,100p,
C5,0603,1,220p,
"C6, C8",0603,2,220n,
C9,0603,1,4n7,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
"D2, D3",LED_D3.0mm,2,LED_3mm,
"D4, D5, D6, D7, D8, D9",D_SOD-523,6,1N914WT,
"GAIN1, VOL1",Potentiometer_Bourns_PTV09A-1_Single_Vertical,2,B100k,
"J1, J2",Jack_6.35mm_Neutrik_NMJ4HCD2_Horizontal,2,6.35mm,
J3,SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm,1,PWR,
"R1, R11",0603,2,1M,
R10,0603,1,22k,
"R12, R13",0603,2,47k,
R14,0603,1,2M,
R2,0603,1,100k,
R3,0603,1,10k,
R4,0603,1,680k,
R5,0603,1,1k,
R6,0603,1,1k5,
"R7, R8",0603,2,680,
R9,0603,1,100,
SW1,Switch_Toggle_SPDT_Mini_SolderLug,1,SW_SPDT,
TREBLE1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,B10k,
U1,SO-8_3.9x4.9mm_P1.27mm,1,TL072,
