Designator,Mid X,Mid Y,Rotation,Layer
BASS1,31.5,-22.95,90.0,top
C1,23.075,-40.535,90.0,top
C10,46.8,-33.8,90.0,top
C11,34.575,-34.9,180.0,top
C12,54.0125,-68.325,270.0,top
C13,43.0,-77.544887,90.0,top
C14,43.0,-70.755112,270.0,top
C15,30.9,-35.4,0.0,top
C2,24.675,-37.435,90.0,top
C3,21.475,-37.435,90.0,top
C4,37.7,-41.3,0.0,top
C5,33.775,-38.935,90.0,top
C6,36.975,-38.935,270.0,top
C7,37.0,-34.2,270.0,top
C8,39.3,-34.9,180.0,top
C9,48.4,-33.8,90.0,top
D1,48.1,-82.7,270.0,top
D2,43.5,-56.025,90.0,top
D3,48.6,-55.975,270.0,top
D4,43.7,-37.0,90.0,top
D5,45.2,-37.0,270.0,top
D6,46.8,-37.0,90.0,top
D7,46.2,-39.8,180.0,top
D8,48.8,-39.8,180.0,top
D9,48.3,-37.0,270.0,top
GAIN1,31.5,-58.45,90.0,top
J1,25.5,-83.315,0.0,top
J2,66.5,-83.285,180.0,top
MID1,46.0,-22.95,90.0,top
R1,24.675,-40.535,270.0,top
R10,57.4125,-68.3,90.0,top
R11,55.7125,-68.3,90.0,top
R12,48.1,-75.4,0.0,top
R13,48.1,-73.8,0.0,top
R14,21.475,-40.535,270.0,top
R2,23.075,-37.435,90.0,top
R3,34.6,-41.3,0.0,top
R4,35.375,-38.935,90.0,top
R5,38.575,-38.935,270.0,top
R6,37.775,-36.5,180.0,top
R7,39.3,-33.3,0.0,top
R8,34.575,-36.5,180.0,top
R9,45.2,-33.825,90.0,top
SW1,46.2,-46.4,90.0,top
TREBLE1,60.5,-22.95,90.0,top
U1,29.175,-38.935,0.0,top
VOL1,60.5,-58.45,90.0,top
