Designator,Mid X,Mid Y,Rotation,Layer
C1,37.45,-47.8,90.0,top
C10,72.2,-40.2,0.0,top
C11,72.2,-37.8,0.0,top
C12,60.8979,-32.45,0.0,top
C2,33.85,-47.8,90.0,top
C3,40.35,-50.2,270.0,top
C4,55.8979,-32.45,0.0,top
C5,41.85,-46.175,0.0,top
C6,50.15,-50.075,90.0,top
C7,51.75,-50.075,90.0,top
C8,44.6,-40.2,0.0,top
C9,44.6,-37.8,0.0,top
D1,48.125,-44.0,180.0,top
D2,72.025,-46.025,270.0,top
J1,21.5,-50.2575,0.0,top
J2,17.2625,-28.2,270.0,top
J3,87.7,-28.2,90.0,top
L1,61.399999,-46.174998,90.0,top
R1,41.675,-53.55,0.0,top
R2,47.4,-54.0,0.0,top
R3,50.9,-54.0,0.0,top
R4,50.9,-52.4,180.0,top
R5,39.225,-27.6,0.0,top
R7,76.2,-28.2,180.0,top
R8,81.5,-28.2,180.0,top
RV1,40.95,-24.0,180.0,top
U1,45.45,-49.925,0.0,top
U2,56.1531,-28.75,0.0,top
